panel	arm	macro_point_operational	macro_interval_operational	eligible_pairs	failed_point_pairs	failed_range_pairs	resolved_interval_pairs	resolved_accuracy_pooled	fixed_target_count
primary	magnitude_g0.50	0.4968631518325297	0.4968631518325297	2438	0	0	378	0.47883597883597884	52
primary	magnitude_g0.80	0.5058260175039619	0.5058260175039619	2438	0	0	350	0.5428571428571428	52
primary	magnitude_g1.00	0.5052644148192107	0.5048797994345953	2438	0	0	352	0.5369318181818182	52
primary	magnitude_g1.25	0.5034015931733961	0.5034015931733961	2438	0	0	260	0.5346153846153846	52
primary	magnitude_g2.00	0.504774622081096	0.5051593913734282	2438	0	0	247	0.5506072874493927	52
primary	ordinal	0.49164480808296296	0.49164480808296296	2438	0	0	292	0.4246575342465753	52
primary	uniform_pfba	0.5	0.5	2438	0	0	0		52
broader_chemistry	magnitude_g0.50	0.5000081665954589	0.5000081665954589	3520	0	0	402	0.4925373134328358	93
broader_chemistry	magnitude_g0.80	0.5032575581742584	0.5032575581742584	3520	0	0	360	0.5416666666666666	93
broader_chemistry	magnitude_g1.00	0.503432302323156	0.5032172485597151	3520	0	0	363	0.5371900826446281	93
broader_chemistry	magnitude_g1.25	0.5004356904156232	0.5004356904156232	3520	0	0	269	0.5278810408921933	93
broader_chemistry	magnitude_g2.00	0.5036471982701729	0.5038623380895415	3520	0	0	251	0.5537848605577689	93
broader_chemistry	ordinal	0.4938491420613079	0.4938491420613079	3520	0	0	308	0.4155844155844156	93
broader_chemistry	uniform_pfba	0.5	0.5	3520	0	0	0		93
